timestamp,open,high,low,close,volume
1777680000000,78193.4,78352.9,78120.9,78303.7,518.52
1777683600000,78301.6,78396.5,78248.1,78301.2,408.678
1777687200000,78301.1,78497.0,78211.7,78317.6,469.108
1777690800000,78317.7,78483.5,78188.0,78377.5,579.11
1777694400000,78377.5,78412.4,78076.7,78140.0,744.559
1777698000000,78140.1,78200.0,77997.9,78147.6,728.623
1777701600000,78147.7,78340.0,78104.3,78283.2,544.683
1777705200000,78283.1,78313.1,78166.6,78191.6,390.253
1777708800000,78191.5,78326.7,78126.4,78285.9,407.313
1777712400000,78286.0,78366.2,78180.0,78266.5,389.62
1777716000000,78266.6,78285.0,78186.0,78213.5,290.449
1777719600000,78213.4,78213.4,78061.8,78116.1,433.536
1777723200000,78116.0,78237.2,78071.7,78182.0,366.586
1777726800000,78182.0,78396.0,78182.0,78334.0,567.429
1777730400000,78334.4,78447.1,78272.1,78376.4,554.037
1777734000000,78376.5,78447.0,78323.1,78447.0,309.568
1777737600000,78447.0,78558.3,78383.0,78414.6,682.095
1777741200000,78414.5,78452.9,78333.6,78359.1,242.651
1777744800000,78359.1,78461.0,78275.0,78427.7,291.912
1777748400000,78427.6,78492.8,78403.1,78449.4,169.113
1777752000000,78450.0,78455.1,78375.1,78418.9,143.479
1777755600000,78418.8,79164.2,78406.6,78695.8,1523.68
1777759200000,78695.9,78841.5,78571.4,78794.5,797.697
1777762800000,78792.7,78792.7,78583.3,78648.0,573.572
1777766400000,78648.1,78732.7,78445.3,78507.2,792.087
1777770000000,78507.2,78510.7,78105.5,78195.7,966.296
1777773600000,78195.7,78281.5,78064.4,78129.0,866.746
1777777200000,78129.0,78177.9,78065.1,78156.1,388.801
1777780800000,78156.1,78195.8,78075.5,78129.9,474.724
1777784400000,78129.9,78221.9,78117.9,78205.3,238.662
1777788000000,78205.3,78316.2,78038.4,78247.1,692.595
1777791600000,78247.1,78412.4,78243.4,78323.1,594.737
1777795200000,78323.1,78466.5,78321.3,78349.0,413.027
1777798800000,78349.0,78569.8,78305.9,78494.6,669.494
1777802400000,78494.6,78503.4,78361.2,78368.9,311.722
1777806000000,78368.9,78804.7,78340.0,78617.8,1563.545
1777809600000,78617.9,78838.8,78617.9,78707.2,1005.77
1777813200000,78707.2,78729.1,78539.1,78627.7,707.833
1777816800000,78627.7,78750.7,78571.3,78696.3,756.146
1777820400000,78696.3,78771.0,78581.1,78623.1,609.748
1777824000000,78623.0,78743.8,78550.0,78612.7,868.664
1777827600000,78612.7,78778.5,78513.9,78689.0,1087.629
1777831200000,78689.0,78719.0,78586.0,78696.9,491.564
1777834800000,78696.8,78816.6,78627.8,78722.5,690.713
1777838400000,78722.5,79277.7,78682.3,78881.4,1522.294
1777842000000,78881.3,79020.0,78617.3,78800.6,996.602
1777845600000,78800.6,79416.3,78793.4,79135.1,2572.761
1777849200000,79137.1,79261.7,78441.5,78532.0,1885.68
1777852800000,78532.9,78537.2,78225.3,78505.9,1701.671
1777856400000,78507.7,79815.3,78368.1,79746.2,4405.084
1777860000000,79746.2,80398.9,79499.4,80132.8,7074.2
1777863600000,80134.1,80429.8,79882.2,80277.7,2713.036
1777867200000,80277.7,80592.9,80192.8,80303.7,4339.316
1777870800000,80303.6,80372.0,79918.0,79992.6,2450.751
1777874400000,79988.3,80020.0,79450.0,79833.0,2489.931
1777878000000,79833.1,79909.1,79630.6,79659.2,1897.68
1777881600000,79659.1,79761.0,79551.1,79663.7,1264.483
1777885200000,79663.6,79883.0,79600.0,79788.2,990.619
1777888800000,79788.1,79837.2,78154.2,78891.3,10006.352
1777892400000,78891.3,79093.4,78661.6,78755.7,2258.412
1777896000000,78755.6,78989.3,78673.2,78814.4,1331.533
1777899600000,78814.3,79082.2,78534.4,78743.0,2450.932
1777903200000,78743.9,80549.1,78446.4,80179.8,7892.096
1777906800000,80175.9,80341.2,79275.8,79983.1,7810.41
1777910400000,79988.1,80359.5,79574.0,79978.8,4307.778
1777914000000,79978.8,80733.0,79975.1,80351.6,3206.484
1777917600000,80346.0,80396.8,79987.6,80072.8,1781.721
1777921200000,80072.7,80095.8,79833.1,80005.3,1259.635
1777924800000,80008.2,80113.2,79840.1,79893.1,850.654
1777928400000,79893.0,80344.0,79890.1,80216.4,652.566
1777932000000,80216.3,80353.4,80001.3,80025.0,747.596
1777935600000,80025.0,80025.0,79705.9,79815.5,1023.083
1777939200000,79816.8,80138.1,79757.0,80127.8,1020.817
1777942800000,80127.8,80340.7,80025.7,80303.6,923.006
1777946400000,80303.5,80871.9,80250.0,80515.2,2157.872
1777950000000,80515.3,81053.2,80408.0,80836.1,2301.049
1777953600000,80836.2,80944.0,80672.6,80855.6,1647.127
1777957200000,80855.5,81288.0,80783.5,80923.0,3487.41
1777960800000,80922.9,80974.4,80750.1,80930.1,1664.315
1777964400000,80930.0,81104.4,80790.1,80819.0,1889.873
1777968000000,80819.8,80860.2,80670.2,80775.0,1628.581
1777971600000,80774.9,80775.0,80480.3,80552.6,1737.247
1777975200000,80552.5,80801.4,80484.0,80797.6,1651.247
1777978800000,80797.5,81074.6,80737.2,80978.7,2286.468
1777982400000,80978.6,81288.0,80884.0,81235.1,2324.628
1777986000000,81235.1,81760.0,81147.9,81290.4,6284.016
1777989600000,81294.1,81469.2,80888.5,81287.9,4320.389
1777993200000,81287.8,81662.7,81187.3,81498.8,2519.041
1777996800000,81498.8,81580.0,81003.2,81254.1,3668.236
