,timestamp,open,high,low,close,volume
0,1769428800000,87738.6,88768.1,86914.1,88244.9,14914.496
1,1769472000000,88245.0,88890.0,87598.3,87857.4,6793.968
2,1769515200000,87856.8,89416.0,87175.2,89111.9,17337.331
3,1769558400000,89112.0,90027.6,88701.1,89938.0,9576.697
4,1769601600000,89938.0,90458.3,88719.3,89155.4,19754.28
5,1769644800000,89154.9,89207.8,87550.0,87679.3,12348.67
6,1769688000000,87678.7,88023.1,83223.1,84487.9,31428.641
7,1769731200000,84487.9,84585.7,80880.8,82989.5,22468.443
8,1769774400000,82989.4,84504.6,81735.9,84107.6,21523.595
9,1769817600000,84107.6,84142.0,82431.9,82874.8,8001.404
10,1769860800000,82874.7,83009.3,75567.0,78639.6,38485.09
11,1769904000000,78639.9,79367.1,77851.5,78669.9,12539.987
12,1769947200000,78669.9,78687.5,75610.2,76883.6,24502.597
13,1769990400000,76883.7,78067.0,74505.0,77658.4,32083.891
14,1770033600000,77658.4,79285.7,77467.5,78644.7,22255.711
15,1770076800000,78644.6,79106.1,77556.9,77979.1,16329.493
16,1770120000000,77979.1,78364.0,72857.9,75652.9,45589.062
17,1770163200000,75652.9,76870.7,75342.1,75908.5,14898.056
18,1770206400000,75908.5,76156.2,71681.1,72985.6,43368.313
19,1770249600000,72987.8,73170.0,69777.0,70186.5,35157.439
20,1770292800000,70186.8,70768.6,62133.6,62776.3,78240.154
21,1770336000000,62772.1,66720.7,59798.9,66518.4,50346.694
22,1770379200000,66518.3,71666.0,66006.7,70502.1,47834.637
23,1770422400000,70502.0,71625.6,67270.4,67906.9,27892.468
24,1770465600000,67901.3,69930.9,67836.7,69223.8,19968.06
25,1770508800000,69223.9,71137.0,68813.4,70910.0,13833.65
26,1770552000000,70910.1,72213.0,69902.1,70252.5,19980.96
27,1770595200000,70252.4,71371.6,68333.3,68847.0,21143.888
28,1770638400000,68847.9,71065.0,68223.0,70079.0,24952.193
29,1770681600000,70080.9,70477.3,68367.2,68445.0,14078.166
30,1770724800000,68446.0,69938.5,67832.9,68775.5,23431.485
31,1770768000000,68775.5,69238.3,66321.5,66996.0,17250.711
32,1770811200000,66995.6,68781.0,65689.1,67005.1,33621.268
33,1770854400000,67011.1,68237.9,66592.8,68013.0,11946.427
34,1770897600000,68012.1,68353.6,65041.0,66191.2,25341.045
35,1770940800000,66191.5,67153.8,65788.4,67096.4,11775.552
36,1770984000000,67094.9,69403.4,66782.6,68785.0,28049.148
37,1771027200000,68786.9,70556.5,68650.1,70435.2,8776.199
38,1771070400000,70435.3,70479.2,69165.9,69756.1,12097.97
39,1771113600000,69758.9,70905.3,69175.0,70227.1,11564.942
40,1771156800000,70229.8,70354.4,68006.5,68764.0,15005.317
41,1771200000000,68762.8,69000.0,68092.4,68749.1,8043.803
42,1771243200000,68750.8,70064.6,67225.3,68829.2,18540.839
43,1771286400000,68829.2,69187.5,67621.4,67792.2,9023.111
44,1771329600000,67791.0,68300.8,66550.1,67448.7,21921.387
45,1771372800000,67448.7,68416.1,66834.3,67320.8,9943.704
46,1771416000000,67320.9,68305.3,65802.5,66398.1,21980.969
47,1771459200000,66400.9,67270.0,66284.0,66440.0,7494.378
48,1771502400000,66440.0,67150.0,65573.0,66952.5,19750.892
49,1771545600000,66952.4,68271.4,66891.7,67279.0,12056.882
50,1771588800000,67279.0,68194.9,66401.0,67958.0,28727.814
51,1771632000000,67959.0,68276.6,67478.6,68040.1,5592.805
52,1771675200000,68040.1,68679.4,67853.9,67925.0,7555.266
53,1771718400000,67923.6,68205.9,67745.1,68171.9,4372.934
54,1771761600000,68169.1,68190.0,67123.0,67590.6,7786.891
55,1771804800000,67590.5,67627.4,64234.5,66171.7,24230.039
56,1771848000000,66171.1,66479.2,63840.0,64606.1,23059.657
57,1771891200000,64606.0,64966.0,62647.2,63186.0,17717.244
58,1771934400000,63186.0,64718.0,62400.0,64036.8,23880.972
59,1771977600000,64037.0,66334.5,63880.8,65392.0,18783.54
60,1772020800000,65387.8,70000.0,65281.4,67966.6,36412.073
61,1772064000000,67966.6,68834.2,67702.1,68017.0,12091.367
62,1772107200000,68017.0,68268.7,66450.0,67452.0,23343.392
63,1772150400000,67451.9,68198.5,65927.0,66095.0,18048.149
64,1772193600000,66092.5,66317.1,64850.0,65824.1,22528.805
65,1772236800000,65826.1,65983.3,62976.5,63818.7,22593.371
66,1772280000000,63819.5,67725.3,63781.9,66937.0,23007.083
67,1772323200000,66932.5,68166.6,66012.1,66446.2,16561.164
68,1772366400000,66446.2,67361.1,65016.0,65749.3,19142.108
69,1772409600000,65749.9,67053.0,65510.0,66331.2,14886.759
70,1772452800000,66331.1,70090.0,65218.7,68798.1,36941.703
71,1772496000000,68798.2,69222.6,66302.0,66983.0,18408.379
72,1772539200000,66981.0,68962.4,66101.6,68299.2,30549.442
73,1772582400000,68297.8,71883.0,67363.7,71080.0,28430.987
74,1772625600000,71080.1,74039.9,70555.0,72651.1,34033.498
75,1772668800000,72652.0,73584.3,71734.7,72892.4,19545.935
76,1772712000000,72894.2,73050.0,70619.0,70857.8,24852.424
77,1772755200000,70860.4,71398.0,70102.0,70186.9,13383.25
78,1772798400000,70186.1,70303.7,67702.0,68078.0,26989.772
79,1772841600000,68079.9,68517.1,67402.2,67976.0,7699.778
80,1772884800000,67976.1,68054.7,66869.8,67226.1,7917.036
81,1772928000000,67228.8,68161.1,66503.7,67478.0,10848.423
82,1772971200000,67478.0,67616.9,65576.6,65939.2,18110.638
83,1773014400000,65939.2,68421.3,65783.7,67713.8,22618.713
84,1773057600000,67713.9,69500.0,67701.8,68401.1,26414.328
85,1773100800000,68401.0,71260.9,68356.4,70563.4,21406.569
86,1773144000000,70563.5,71761.1,69227.6,69919.3,33520.747
87,1773187200000,69919.4,70239.0,69100.0,69138.1,13958.907
88,1773230400000,69138.0,71304.5,68935.8,70162.5,29635.468
89,1773273600000,70161.0,70767.4,69148.6,70392.9,17048.85
90,1773316800000,70394.0,70723.2,69311.3,70487.1,27024.349
91,1773360000000,70486.0,72574.0,70358.0,72205.4,22969.466
92,1773403200000,72205.4,73899.4,70531.5,70908.0,41122.894
93,1773446400000,70906.1,71292.7,70292.4,70718.2,9665.19
94,1773489600000,70718.1,71231.3,70458.2,71188.1,6541.495
95,1773532800000,71187.0,71915.5,70835.6,71816.5,10295.686
96,1773576000000,71816.5,73188.0,71247.0,72788.0,16595.634
97,1773619200000,72786.0,74455.1,72250.8,73525.0,26008.696
98,1773662400000,73525.7,74888.8,72947.2,74855.4,27114.129
